Sample ID,Collected by,Species,Date,Month,Site,City,Latitude,Longitude,% Certain,Freshness,Weather,Condition,Notes,Anal jelly? (for otter),Lab Name,Lab Notes,,,,,,,,,,,,,,,,,,,
UCP176,YH,River otter,4/25/22,4,WNP,Hunts Point,47.64022,-122.22443,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP180,YH,Coyote,5/16/22,5,GGC,Bellevue,47.60655,-122.16221,100,B,,,,,STL295,,,,,,,,,,,,,,,,,,,,
UCP181,YH,Coyote,5/16/22,5,,,47.60886,-122.1589093,60,C,,,rained on,,STL296,,,,,,,,,,,,,,,,,,,,
UCP182,YH,Coyote,5/26/22,5,,,47.5612793,-122.25201,100,A,,,freshhh,,STL297,,,,,,,,,,,,,,,,,,,,
UCP183,YH,River otter,5/26/22,5,LNM,Seattle,47.60457083,-122.2827378,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP184,YH,River otter,5/26/22,5,LNM,Seattle,47.60457083,-122.2827378,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP185,YH,River otter,5/26/22,5,LNM,Seattle,47.60452562,-122.2826829,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP186,YH,River otter,5/26/22,5,LNM,Seattle,47.60452562,-122.2826829,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP187,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP188,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP189,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP190,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP191,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP192,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP193,YH,River otter,6/1/22,6,BSW,Seattle,47.65249022,-122.3175526,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP194,SK,River otter,6/2/22,6,LNM,Seattle,47.60456,-122.28268,100,B,,,,,,,,,,,,,,,,,,,,,,,,,
UCP195,SK,River otter,6/2/22,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP196,SK,River otter,6/2/22,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP197,SK,River otter,6/2/22,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP198,SK,River otter,6/2/22,6,LNM,Seattle,47.60456,-122.28268,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP199,SK,River otter,6/2/22,6,LNM,Seattle,47.60448,-122.28271,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP200,SK,River otter,6/2/22,6,LNM,Seattle,47.60434,-122.28277,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
UCP201,SK,River otter,6/2/22,6,LNM,Seattle,47.60434,-122.28277,100,C,,,,,,,,,,,,,,,,,,,,,,,,,
